order_id,drink_name,agent,order_sent_back,hour_of_day,day_of_week,date,wait_time_min,queue_wait_min,idle_wait_min,prep_time_min,dwell_time_min
100071,Latte,Charlie,0,8,Wednesday,2025-10-01,9.883333333333333,0.7333333333333333,2.8833333333333333,7.0,8.316666666666666
100089,Cold Brew,Charlie,0,9,Wednesday,2025-10-01,9.233333333333333,0.8333333333333334,2.433333333333333,6.8,3.35
100099,Cold Brew,Charlie,0,9,Wednesday,2025-10-01,8.95,1.9,2.55,6.4,8.65
100112,Cappuccino,Charlie,0,9,Wednesday,2025-10-01,8.966666666666667,0.9666666666666667,2.1333333333333333,6.833333333333333,0.6166666666666667
100167,Flat White,Charlie,0,10,Wednesday,2025-10-01,9.133333333333333,1.0833333333333333,1.6833333333333333,7.45,18.75
100200,Espresso,Charlie,0,11,Wednesday,2025-10-01,8.716666666666667,0.8666666666666667,2.8833333333333333,5.833333333333333,7.716666666666667
100212,Tea,Charlie,0,12,Wednesday,2025-10-01,8.55,1.7,1.95,6.6,4.333333333333333
100233,Latte,Charlie,0,12,Wednesday,2025-10-01,9.233333333333333,1.7333333333333334,2.5833333333333335,6.65,19.05
100273,Latte,Charlie,0,14,Wednesday,2025-10-01,8.783333333333333,0.7,2.566666666666667,6.216666666666667,12.783333333333333
100279,Flat White,Charlie,0,14,Wednesday,2025-10-01,9.333333333333334,1.05,2.1333333333333333,7.2,2.1333333333333333
100287,Latte,Charlie,0,14,Wednesday,2025-10-01,8.916666666666666,1.3666666666666667,2.1,6.816666666666666,7.95
100310,Espresso,Charlie,0,15,Wednesday,2025-10-01,8.816666666666666,0.6333333333333333,2.75,6.066666666666666,9.55
100318,Cappuccino,Charlie,0,15,Wednesday,2025-10-01,8.883333333333333,0.55,2.1,6.783333333333333,3.4833333333333334
100336,Flat White,Charlie,0,16,Wednesday,2025-10-01,9.016666666666667,1.1,2.816666666666667,6.2,19.916666666666668
100378,Cappuccino,Charlie,0,7,Thursday,2025-10-02,9.0,0.9666666666666667,2.716666666666667,6.283333333333333,18.65
100395,Latte,Charlie,0,8,Thursday,2025-10-02,8.75,1.2166666666666666,2.066666666666667,6.683333333333334,9.766666666666667
100421,Mocha,Charlie,0,8,Thursday,2025-10-02,8.566666666666666,1.7833333333333334,2.6166666666666667,5.95,18.933333333333334
100442,Latte,Charlie,0,9,Thursday,2025-10-02,8.733333333333333,0.5833333333333334,1.5666666666666667,7.166666666666667,12.933333333333334
100476,Espresso,Charlie,0,10,Thursday,2025-10-02,8.65,0.8,2.1,6.55,12.016666666666667
100501,Tea,Charlie,0,11,Thursday,2025-10-02,9.3,1.6666666666666667,2.933333333333333,6.366666666666666,5.733333333333333
100526,Cold Brew,Charlie,0,12,Thursday,2025-10-02,8.933333333333334,0.85,2.1333333333333333,6.8,3.8333333333333335
100536,Mocha,Charlie,0,12,Thursday,2025-10-02,9.766666666666667,1.3333333333333333,2.4,7.366666666666666,5.116666666666666
100643,Latte,Charlie,0,14,Thursday,2025-10-02,9.433333333333334,0.7166666666666667,2.8333333333333335,6.6,11.266666666666667
100740,Hot Chocolate,Charlie,0,7,Friday,2025-10-03,8.716666666666667,1.65,2.9,5.816666666666666,19.25
100794,Espresso,Charlie,0,8,Friday,2025-10-03,9.983333333333333,1.3666666666666667,2.533333333333333,7.45,17.033333333333335
100800,Matcha Latte,Charlie,0,8,Friday,2025-10-03,9.55,1.0166666666666666,2.35,7.2,14.116666666666667
100824,Mocha,Charlie,0,9,Friday,2025-10-03,9.65,1.2166666666666666,2.8666666666666667,6.783333333333333,18.9
100933,Latte,Charlie,0,13,Friday,2025-10-03,8.9,1.9166666666666667,2.066666666666667,6.833333333333333,2.75
100974,Tea,Charlie,0,14,Friday,2025-10-03,9.633333333333333,1.0333333333333334,2.9833333333333334,6.65,13.55
101072,Cold Brew,Charlie,0,16,Friday,2025-10-03,8.75,1.3,2.2666666666666666,6.483333333333333,11.916666666666666
101141,Tea,Charlie,0,8,Saturday,2025-10-04,9.25,1.2666666666666666,2.466666666666667,6.783333333333333,5.75
101149,Latte,Charlie,0,8,Saturday,2025-10-04,9.016666666666667,1.2166666666666666,2.7,6.316666666666666,14.7
101152,Latte,Charlie,0,8,Saturday,2025-10-04,9.95,1.9833333333333334,2.7333333333333334,7.216666666666667,17.166666666666668
101176,Latte,Charlie,0,9,Saturday,2025-10-04,9.266666666666667,1.0666666666666667,2.933333333333333,6.333333333333333,11.466666666666667
101266,Espresso,Charlie,0,11,Saturday,2025-10-04,8.583333333333334,1.8333333333333333,1.5,7.083333333333333,18.816666666666666
101323,Mocha,Charlie,0,13,Saturday,2025-10-04,8.983333333333333,0.7,1.7333333333333334,7.25,1.9333333333333333
101347,Latte,Charlie,0,14,Saturday,2025-10-04,9.65,1.3833333333333333,2.3,7.35,12.716666666666667
101425,Latte,Charlie,0,7,Sunday,2025-10-05,8.866666666666667,1.3,1.8333333333333333,7.033333333333333,19.833333333333332
101477,Mocha,Charlie,0,9,Sunday,2025-10-05,9.916666666666666,1.7666666666666666,2.45,7.466666666666667,10.266666666666667
101512,Espresso,Charlie,0,11,Sunday,2025-10-05,9.066666666666666,1.25,2.55,6.516666666666667,12.45
101515,Mocha,Charlie,0,11,Sunday,2025-10-05,9.933333333333334,1.5666666666666667,2.7,7.233333333333333,4.383333333333334
101624,Americano,Charlie,0,14,Sunday,2025-10-05,10.066666666666666,1.7833333333333334,2.7333333333333334,7.333333333333333,17.483333333333334
101661,Cold Brew,Charlie,0,14,Sunday,2025-10-05,9.483333333333333,1.2,2.9,6.583333333333333,6.4
